user_id,song_id,event_type,play_count,liked,added_to_playlist,skipped,listen_seconds,timestamp,device,country,artist_id,genre
u00948,s000072,play,1,0,0,0,28,2025-06-13 13:57:14,mobile,US,a00189,pop
u00804,s000015,ADD_TO_PLAYLIST,6,1,0,0,332,2025-05-04 14:24:03,mobile,US,a00156,edm
u00570,s000365,like,17,1,0,0,289,2025-08-20 07:16:49,mobile,US,a00128,edm
u00824,s000024,ADD_TO_PLAYLIST,9,1,0,0,184,2025-09-25 18:22:14,mobile,US,a00065,latin
u00688,s000001,PLAY,14,0,0,0,342,2025-02-05 04:49:01,mobile,US,a00197,indie
u00144,s000364,LIKE,17,1,0,0,268,2025-04-08 11:48:29,mobile,US,a00016,latin
u00356,s000023,play,17,0,0,0,316,2025-02-01 08:50:41,mobile,US,a00085,pop
u00331,s000002,like,15,1,0,0,395,2025-09-10 15:13:41,mobile,US,a00133,rock
u00327,s000020,PLAY,16,0,0,0,355,2025-10-17 05:33:56,mobile,US,a00182,indie
u00972,s000039,SKIP,1,0,0,1,33,2025-02-20 00:43:46,mobile,US,a00156,jazz
u00567,s000036,PLAY,10,0,0,0,395,2025-04-20 10:53:27,mobile,US,a00179,latin
u00091,s000058,PLAY,1,0,0,0,17,2025-04-18 07:44:24,mobile,US,a00010,edm
u00692,s000011,PLAY,15,0,0,0,224,2025-10-16 19:20:18,mobile,US,a00156,classical
u00030,s000393,SKIP,1,0,0,1,57,2025-08-13 04:31:26,mobile,US,a00079,edm
u00081,s000205,skip,1,0,0,1,16,2025-10-15 17:31:11,mobile,US,a00031,edm
u00524,s000129,play,6,0,0,0,367,2025-11-04 04:19:56,mobile,US,a00090,pop
u00674,s000008,play,6,0,0,0,242,2025-04-27 08:27:09,mobile,US,a00191,hip-hop
u00036,s000356,add_to_playlist,8,1,0,0,398,2025-09-24 09:53:15,mobile,US,a00147,hip-hop
u00917,s000008,PLAY,6,0,0,0,229,2025-07-27 15:39:26,mobile,US,a00191,hip-hop
u00284,s000026,add_to_playlist,11,1,0,0,208,2025-06-13 22:19:49,mobile,US,a00004,pop
u00878,s000437,play,6,0,0,0,353,2025-12-05 05:02:59,mobile,US,a00151,classical
u00976,s000170,add_to_playlist,17,1,0,0,254,2025-07-31 13:39:13,mobile,US,a00061,latin
u00686,s000015,add_to_playlist,18,1,0,0,363,2025-11-01 00:34:28,mobile,US,a00156,edm
u00302,s000027,play,7,0,0,0,180,2025-10-09 23:45:41,mobile,US,a00122,jazz
u00526,s000013,LIKE,16,1,0,0,197,2025-08-10 16:52:31,mobile,US,a00154,jazz
u00538,s000429,PLAY,1,0,0,0,33,2025-09-21 07:22:54,mobile,US,a00115,indie
u00026,s000499,play,1,0,0,0,33,2025-03-05 10:32:20,mobile,US,a00192,indie
u00535,s000386,play,1,0,0,0,19,2025-01-06 23:59:09,mobile,US,a00016,rock
u00454,s000011,like,13,1,0,0,367,2025-07-11 04:56:21,mobile,US,a00156,classical
u00500,s000093,add_to_playlist,5,1,0,0,251,2025-02-08 05:36:29,mobile,US,a00010,indie
u00319,s000285,PLAY,17,0,0,0,396,2025-11-15 19:35:01,mobile,US,a00003,edm
u00424,s000009,play,13,0,0,0,225,2025-11-30 02:11:27,mobile,US,a00014,latin
u00309,s000303,PLAY,16,0,0,0,276,2025-04-06 21:22:40,mobile,US,a00164,edm
u00744,s000039,PLAY,11,0,0,0,373,2025-10-03 17:20:25,mobile,US,a00156,jazz
u00685,s000330,PLAY,15,0,0,0,240,2025-01-17 17:01:57,mobile,US,a00106,edm
u00008,s000358,SKIP,1,0,0,1,45,2025-07-07 23:38:47,mobile,US,a00189,hip-hop
u00839,s000461,LIKE,19,1,0,0,186,2025-11-01 13:08:31,mobile,US,a00054,classical
u00899,s000498,LIKE,13,1,0,0,367,2025-06-24 05:36:10,mobile,US,a00175,jazz
u00977,s000036,play,7,0,0,0,301,2025-03-13 05:09:01,mobile,US,a00179,latin
u00355,s000408,LIKE,7,1,0,0,223,2025-01-23 10:59:29,mobile,US,a00025,indie
u00722,s000415,play,16,0,0,0,381,2025-04-01 00:45:48,mobile,US,a00150,hip-hop
u00092,s000026,play,9,0,0,0,338,2025-05-05 01:00:07,mobile,US,a00004,pop
u00403,s000110,LIKE,6,1,0,0,356,2025-04-16 10:18:16,mobile,US,a00142,rock
u00419,s000025,add_to_playlist,6,1,0,0,343,2025-06-18 12:46:33,mobile,US,a00009,edm
u00754,s000095,PLAY,6,0,0,0,219,2025-03-12 10:39:28,mobile,US,a00000,pop
u00866,s000007,play,18,0,0,0,181,2025-05-21 07:29:08,mobile,US,a00041,classical
u00933,s000021,PLAY,18,0,0,0,396,2025-03-17 03:17:58,mobile,US,a00032,rock
u00837,s000011,play,9,0,0,0,184,2025-01-02 18:29:59,mobile,US,a00156,classical
u00459,s000371,play,14,0,0,0,374,2025-05-18 10:00:47,mobile,US,a00038,jazz
u00969,s000013,PLAY,8,0,0,0,187,2025-07-01 13:15:44,mobile,US,a00154,jazz
u00312,s000006,like,19,1,0,0,383,2025-01-21 21:36:48,mobile,US,a00199,hip-hop
u00631,s000155,skip,1,0,0,1,10,2025-05-07 11:51:24,mobile,US,a00104,rock
u00915,s000033,add_to_playlist,17,1,0,0,180,2025-12-09 07:56:53,mobile,US,a00158,edm
u00484,s000324,PLAY,7,0,0,0,385,2025-12-02 17:49:07,mobile,US,a00189,classical
