user_id,song_id,score,rank,artist_id,genre
u00948,s000171,0.48847004771232605,1,a00031,jazz
u00948,s000391,0.4785599112510681,2,a00011,edm
u00948,s000316,0.4769517779350281,3,a00097,pop
u00948,s000494,0.441793292760849,4,a00145,edm
u00948,s000025,0.3989415764808655,5,a00009,edm
u00948,s000330,0.3827019929885864,6,a00106,edm
u00948,s000360,0.38037657737731934,7,a00153,edm
u00948,s000232,0.3637109398841858,8,a00181,classical
u00948,s000161,0.36366868019104004,9,a00188,classical
u00948,s000140,0.3623603582382202,10,a00179,edm
u00804,s000225,0.6460224390029907,1,a00077,edm
u00804,s000275,0.510694146156311,2,a00127,latin
u00804,s000227,0.4482713043689728,3,a00119,latin
u00804,s000457,0.4098009765148163,4,a00169,hip-hop
u00804,s000438,0.38396912813186646,5,a00107,latin
u00804,s000224,0.3479105830192566,6,a00087,rock
u00804,s000358,0.3469122052192688,7,a00189,hip-hop
u00804,s000385,0.33744531869888306,8,a00188,hip-hop
u00804,s000298,0.33445027470588684,9,a00099,classical
u00804,s000334,0.32466232776641846,10,a00035,hip-hop
u00570,s000015,0.6701061725616455,1,a00156,edm
u00570,s000012,0.6142191886901855,2,a00032,edm
u00570,s000339,0.598199188709259,3,a00010,edm
u00570,s000330,0.5536571145057678,4,a00106,edm
u00570,s000494,0.5231391191482544,5,a00145,edm
u00570,s000156,0.4351412355899811,6,a00176,pop
u00570,s000140,0.3887842297554016,7,a00179,edm
u00570,s000361,0.37252575159072876,8,a00193,edm
u00570,s000312,0.37182825803756714,9,a00056,rock
u00570,s000338,0.37010788917541504,10,a00148,edm
u00824,s000413,0.5514956712722778,1,a00198,latin
u00824,s000112,0.5397439002990723,2,a00174,latin
u00824,s000288,0.5008530616760254,3,a00028,hip-hop
u00824,s000307,0.46483081579208374,4,a00086,latin
u00824,s000304,0.40386682748794556,5,a00152,pop
u00824,s000447,0.3947356343269348,6,a00107,latin
u00824,s000196,0.39382416009902954,7,a00102,pop
u00824,s000178,0.38978204131126404,8,a00167,indie
u00824,s000140,0.3803839683532715,9,a00179,edm
u00824,s000405,0.37568092346191406,10,a00058,latin
u00688,s000344,1.0404483079910278,1,a00186,indie
u00688,s000359,0.8290431499481201,2,a00108,indie
u00688,s000188,0.5794717073440552,3,a00165,jazz
u00688,s000037,0.4930795729160309,4,a00183,indie
u00688,s000360,0.4641861617565155,5,a00153,edm
u00688,s000262,0.42824727296829224,6,a00036,indie
u00688,s000381,0.41432225704193115,7,a00100,hip-hop
u00688,s000042,0.3957369029521942,8,a00156,indie
u00688,s000447,0.3889271914958954,9,a00107,latin
u00688,s000175,0.38709086179733276,10,a00172,indie
u00144,s000425,0.5024921894073486,1,a00175,edm
u00144,s000018,0.4574032723903656,2,a00096,latin
u00144,s000236,0.4344578981399536,3,a00006,rock
u00144,s000009,0.43347835540771484,4,a00014,latin
u00144,s000081,0.4245995879173279,5,a00036,classical
u00144,s000103,0.42118752002716064,6,a00056,rock
u00144,s000189,0.3642113208770752,7,a00178,latin
u00144,s000231,0.3522021770477295,8,a00164,latin
u00144,s000163,0.34972822666168213,9,a00048,edm
u00144,s000024,0.34072789549827576,10,a00065,latin
u00356,s000016,0.752189576625824,1,a00037,pop
u00356,s000373,0.5391967296600342,2,a00130,pop
u00356,s000459,0.4877856373786926,3,a00125,jazz
u00356,s000106,0.4791204333305359,4,a00181,classical
u00356,s000094,0.4668809175491333,5,a00150,pop
u00356,s000093,0.34645137190818787,6,a00010,indie
u00356,s000328,0.3299494683742523,7,a00129,edm
u00356,s000213,0.3150666356086731,8,a00186,edm
u00356,s000153,0.31129053235054016,9,a00080,pop
u00356,s000338,0.3111100494861603,10,a00148,edm
u00331,s000276,0.5014171600341797,1,a00113,rock
u00331,s000110,0.47045576572418213,2,a00142,rock
u00331,s000440,0.35972386598587036,3,a00044,rock
u00331,s000034,0.3468751013278961,4,a00046,rock
u00331,s000499,0.3312496244907379,5,a00192,indie
u00331,s000302,0.3288730978965759,6,a00016,indie
u00331,s000038,0.28816258907318115,7,a00014,rock
u00331,s000346,0.28182247281074524,8,a00053,jazz
u00331,s000218,0.2788770794868469,9,a00096,classical
u00331,s000479,0.26982447504997253,10,a00120,latin
u00327,s000483,0.46094441413879395,1,a00102,rock
u00327,s000001,0.45924198627471924,2,a00197,indie
u00327,s000300,0.44701719284057617,3,a00165,indie
u00327,s000098,0.4432782828807831,4,a00148,edm
u00327,s000277,0.4266006052494049,5,a00114,indie
u00327,s000476,0.40195631980895996,6,a00184,indie
u00327,s000242,0.39668190479278564,7,a00146,indie
u00327,s000485,0.39209219813346863,8,a00132,indie
u00327,s000284,0.3488773703575134,9,a00021,indie
u00327,s000465,0.348190575838089,10,a00012,edm
u00567,s000470,0.6016804575920105,1,a00122,classical
u00567,s000237,0.5118241906166077,2,a00073,latin
u00567,s000486,0.42565011978149414,3,a00064,indie
u00567,s000405,0.42403191328048706,4,a00058,latin
u00567,s000425,0.4197278916835785,5,a00175,edm
u00567,s000383,0.40802720189094543,6,a00186,hip-hop
u00567,s000333,0.40120747685432434,7,a00180,latin
u00567,s000395,0.39363136887550354,8,a00007,edm
u00567,s000227,0.3935440480709076,9,a00119,latin
u00567,s000364,0.386179655790329,10,a00016,latin
u00091,s000105,0.8445714116096497,1,a00062,hip-hop
u00091,s000358,0.8060828447341919,2,a00189,hip-hop
u00091,s000457,0.7647413015365601,3,a00169,hip-hop
u00091,s000334,0.4981655478477478,4,a00035,hip-hop
u00091,s000098,0.44747835397720337,5,a00148,edm
u00091,s000329,0.4301617741584778,6,a00053,classical
u00091,s000083,0.4060002565383911,7,a00126,hip-hop
u00091,s000338,0.40008702874183655,8,a00148,edm
u00091,s000234,0.3854226768016815,9,a00054,pop
u00091,s000090,0.3852497339248657,10,a00028,hip-hop
u00692,s000010,0.8752415180206299,1,a00110,classical
u00692,s000066,0.6593740582466125,2,a00089,classical
u00692,s000014,0.630073070526123,3,a00163,classical
u00692,s000327,0.6243871450424194,4,a00063,classical
u00692,s000019,0.5599161386489868,5,a00154,classical
u00692,s000418,0.5057276487350464,6,a00134,classical
u00692,s000161,0.46870067715644836,7,a00188,classical
u00692,s000345,0.4634209871292114,8,a00038,jazz
u00692,s000338,0.4236495792865753,9,a00148,edm
u00692,s000068,0.3816787600517273,10,a00106,classical
u00524,s000414,0.47417160868644714,1,a00144,pop
u00524,s000270,0.4117404818534851,2,a00023,pop
u00524,s000401,0.40873438119888306,3,a00024,jazz
u00524,s000255,0.40640687942504883,4,a00010,pop
u00524,s000026,0.3818589448928833,5,a00004,pop
u00524,s000083,0.37707576155662537,6,a00126,hip-hop
